Gender,Age,Occupation,Purpose_of_Travel,Travel_Frequency,Travel_Class,Flight_Preference,Booking_Mode,Influencing_Factors,Airline_Last_Flown,Price_Sensitivity,Loyalty_Program,Reward_Preference,Schedule_Preference,Inflight_Priority,Purpose_List,business,leisure,family_visit,education,medical,others,indigo,spicejet,vistara,air_india,akasa,airline_count
woman,19-24,student,others,2-3 flights,economy,direct flight only,"third party website (e.g makemytrip, goibibo)",['in flight service quality'],other;,very sensitive,no,"['free flights', 'free seat upgrades', 'free lounge access']",no preference,extra legroom,['others'],0,0,0,1,0,0,1,0,0,0,0,1
man,19-24,student,others,7-10 flights,first class,no preference,"third party website (e.g makemytrip, goibibo)","['punctuality', 'in flight service quality', 'brand reputation']",vistara;,not sensitive,yes,"['free flights', 'free lounge access', 'priority check-in/boarding']",evening,cabin crew behavior,['others'],0,0,0,1,0,0,0,0,1,0,0,1
woman,60+,student,others,1 flight,business,prefer layover for rest/personal reasons,other,['ticket price'],other;,very sensitive,no,"['cashback or discount', 'free flights', 'priority check-in/boarding']",afternoon,seat comfort,['others'],0,0,0,1,0,0,1,0,0,0,0,1
woman,25-34,student,others,1 flight,economy,direct flight only,travel agent,"['safety rating', 'punctuality', 'free food']",vistara;,not sensitive,yes,['cashback or discount'],late night,extra legroom,['others'],0,0,0,1,0,0,0,0,1,0,0,1
man,25-34,student,others,4-6 flights,business,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['safety rating', 'ticket price', 'punctuality']",air india;,very sensitive,no,['cashback or discount'],no preference,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,0,0,1,0,0,0,0,0,1,0,1
woman,19-24,student,others,1 flight,economy,prefer layover for rest/personal reasons,other,['free food'],spicejet;,very sensitive,no,['free lounge access'],early morning,extra legroom,['others'],0,0,0,1,0,0,0,1,0,0,0,1
man,25-34,business owner,others,4-6 flights,economy,prefer layover for rest/personal reasons,corporate booking portal,['safety rating'],other;,very sensitive,no,['priority check-in/boarding'],afternoon,cabin crew behavior,['others'],0,0,0,0,0,1,1,0,0,0,0,1
man,19-24,student,others,7-10 flights,first class,direct flight only,travel agent,"['punctuality', 'brand reputation']",vistara;,not sensitive,yes,"['free lounge access', 'cashback or discount']",late night,in-flight entertainment,['others'],0,0,0,1,0,0,0,0,1,0,0,1
woman,25-34,student,others,1 flight,premium economy,prefer layover for rest/personal reasons,travel agent,['safety rating'],indigo;,somewhat sensitive,yes,"['priority check-in/boarding', 'free flights', 'free lounge access']",no preference,cabin crew behavior,['others'],0,0,0,0,0,1,1,0,0,0,0,1
woman,60+,others,leisure/vacation;family visit;,more than 10 flight,economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['safety rating', 'punctuality', 'ticket price']",indigo;air india;akasa;other;,somewhat sensitive,no,"['extra baggage', 'free seat upgrades', 'free lounge access']",no preference,"['seat comfort', 'extra baggage facility', 'cabin crew behavior']","['leisure', 'family_visit']",0,1,1,0,1,0,1,0,0,0,0,1
man,19-24,student,others,1 flight,first class,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['safety rating', 'punctuality']",spicejet;,very sensitive,no,"['free flights', 'cashback or discount', 'free seat upgrades']",early morning,cabin crew behavior,['others'],0,0,0,1,0,0,0,1,0,0,0,1
man,25-34,student,others,4-6 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)",['ticket price'],indigo;,very sensitive,no,['free flights'],late night,seat comfort,['others'],0,0,0,1,0,0,1,0,0,0,0,1
woman,60+,student,others,1 flight,premium economy,no preference,corporate booking portal,"['safety rating', 'free food', 'brand reputation']",other;,very sensitive,no,"['priority check-in/boarding', 'free flights']",no preference,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,19-24,student,others,4-6 flights,first class,prefer layover for rest/personal reasons,corporate booking portal,"['punctuality', 'loyalty programs']",indigo;,not sensitive,yes,"['free flights', 'priority check-in/boarding', 'free seat upgrades']",evening,seat comfort,['others'],0,0,0,1,0,0,1,0,0,0,0,1
man,25-34,working professional,business,7-10 flights,business,no preference,other,"['safety rating', 'in flight service quality']",other;,very sensitive,no,"['priority check-in/boarding', 'free flights', 'cashback or discount']",evening,extra baggage facility,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,60+,student,others,1 flight,premium economy,prefer 1-stop if cheaper,corporate booking portal,"['loyalty programs', 'ticket price', 'free food']",air india;,very sensitive,no,['free flights'],no preference,cabin crew behavior,['others'],0,1,0,0,0,0,0,0,0,1,0,1
woman,19-24,student,others,4-6 flights,first class,prefer layover for rest/personal reasons,corporate booking portal,"['ticket price', 'free food']",spicejet;,very sensitive,no,"['free lounge access', 'priority check-in/boarding', 'free flights']",afternoon,cabin crew behavior,['others'],0,0,0,1,0,0,0,1,0,0,0,1
woman,45-60,working professional,others,4-6 flights,economy,prefer layover for rest/personal reasons,other,['free food'],vistara;,not sensitive,yes,"['free seat upgrades', 'cashback or discount']",late night,in-flight entertainment,['others'],1,0,0,0,0,0,0,0,1,0,0,1
woman,25-34,working professional,others,1 flight,premium economy,prefer layover for rest/personal reasons,travel agent,"['brand reputation', 'free food']",spicejet;,very sensitive,no,"['cashback or discount', 'free seat upgrades', 'free flights']",evening,seat comfort,['others'],1,0,0,0,0,0,0,1,0,0,0,1
woman,60+,others,others,1 flight,premium economy,prefer 1-stop if cheaper,other,"['ticket price', 'punctuality']",spicejet;,very sensitive,no,"['free flights', 'cashback or discount', 'free seat upgrades']",late night,cabin crew behavior,['others'],0,0,1,0,0,0,0,1,0,0,0,1
man,19-24,working professional,others,more than 10 flight,economy,no preference,"third party website (e.g makemytrip, goibibo)","['safety rating', 'punctuality']",indigo;,very sensitive,no,"['free flights', 'priority check-in/boarding', 'free seat upgrades']",no preference,cabin crew behavior,['others'],1,0,0,0,0,0,1,0,0,0,0,1
man,19-24,student,others,7-10 flights,first class,prefer layover for rest/personal reasons,corporate booking portal,['free food'],indigo;,not sensitive,yes,"['free flights', 'free seat upgrades', 'free lounge access']",early morning,seat comfort,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,19-24,student,others,7-10 flights,business,no preference,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'loyalty programs']",indigo;,not sensitive,yes,"['cashback or discount', 'free seat upgrades', 'free lounge access']",early morning,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,60+,others,others,0 flight,economy,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)",['free food'],indigo;,not sensitive,yes,"['free lounge access', 'priority check-in/boarding']",early morning,extra legroom,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,35-44,business owner,business,7-10 flights,first class,direct flight only,other,"['loyalty programs', 'in flight service quality']",other;,very sensitive,no,"['free flights', 'cashback or discount']",no preference,extra legroom,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,60+,others,leisure/vacation,1 flight,economy,prefer layover for rest/personal reasons,corporate booking portal,['free food'],indigo;,very sensitive,no,['free seat upgrades'],late night,in-flight entertainment,['leisure'],0,1,0,0,0,0,1,0,0,0,0,1
woman,45-60,working professional,leisure/vacation,4-6 flights,business,prefer layover for rest/personal reasons,corporate booking portal,"['brand reputation', 'safety rating', 'free food']",spicejet;,very sensitive,no,"['free seat upgrades', 'free flights']",evening,cabin crew behavior,['leisure'],0,1,0,0,0,0,0,1,0,0,0,1
man,25-34,working professional,others,4-6 flights,first class,no preference,"third party website (e.g makemytrip, goibibo)","['safety rating', 'brand reputation', 'loyalty programs']",spicejet;,very sensitive,no,"['free flights', 'free lounge access', 'free seat upgrades']",evening,extra legroom,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,35-44,working professional,others,2-3 flights,premium economy,prefer layover for rest/personal reasons,travel agent,['ticket price'],indigo;,very sensitive,no,['free lounge access'],afternoon,seat comfort,['others'],1,0,0,0,0,0,1,0,0,0,0,1
woman,19-24,working professional,family visit,2-3 flights,economy,direct flight only,airline website/app,"['ticket price', 'punctuality', 'in flight service quality']",other,somewhat sensitive,no,"['extra baggage', 'free lounge access', 'cashback or discount']",late night,"['seat comfort', 'extra baggage facility', 'amenities(e.g charging ports, eye-mask, blankets)']",['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
woman,19-24,student,others,4-6 flights,business,prefer layover for rest/personal reasons,corporate booking portal,"['safety rating', 'free food']",vistara;,very sensitive,no,['cashback or discount'],evening,extra baggage facility,['others'],0,1,0,0,0,0,0,0,1,0,0,1
woman,60+,others,others,0 flight,premium economy,prefer layover for rest/personal reasons,travel agent,['brand reputation'],other;,very sensitive,no,"['cashback or discount', 'free seat upgrades', 'priority check-in/boarding']",late night,seat comfort,['others'],0,0,0,0,0,1,0,0,1,0,0,1
man,25-34,business owner,others,4-6 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['free food', 'in flight service quality']",other;,very sensitive,no,['free lounge access'],evening,seat comfort,['others'],1,0,0,0,0,0,1,0,0,0,0,1
woman,45-60,government employee,business,1 flight,first class,no preference,travel agent,['safety rating'],other;,not sensitive,yes,['free seat upgrades'],no preference,cabin crew behavior,['business'],1,0,0,0,0,0,0,1,0,0,0,1
woman,35-44,student,others,1 flight,economy,prefer layover for rest/personal reasons,travel agent,"['brand reputation', 'in flight service quality', 'ticket price']",indigo;,very sensitive,no,"['free seat upgrades', 'priority check-in/boarding', 'cashback or discount']",early morning,extra baggage facility,['others'],0,0,0,1,0,0,1,0,0,0,0,1
man,19-24,student,others,1 flight,economy,direct flight only,corporate booking portal,"['brand reputation', 'free food']",indigo;,not sensitive,yes,"['cashback or discount', 'free seat upgrades', 'free lounge access']",afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,60+,others,others,1 flight,premium economy,no preference,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'in flight service quality', 'safety rating']",vistara;,very sensitive,no,"['free seat upgrades', 'priority check-in/boarding', 'free flights']",evening,seat comfort,['others'],0,0,0,0,0,1,0,0,1,0,0,1
woman,35-44,business owner,business,4-6 flights,business,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'brand reputation', 'safety rating']",vistara;,not sensitive,yes,"['free flights', 'priority check-in/boarding']",afternoon,extra legroom,['business'],1,0,0,0,0,0,0,0,1,0,0,1
man,25-34,business owner,others,4-6 flights,premium economy,prefer layover for rest/personal reasons,travel agent,"['free food', 'brand reputation', 'punctuality']",indigo;,not sensitive,yes,"['free lounge access', 'free flights']",afternoon,seat comfort,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,35-44,business owner,family visit,4-6 flights,first class,direct flight only,other,"['punctuality', 'brand reputation']",vistara;,not sensitive,yes,"['free flights', 'priority check-in/boarding', 'cashback or discount']",late night,extra legroom,['family_visit'],0,0,1,0,0,0,0,0,1,0,0,1
woman,35-44,student,family visit,7-10 flights,first class,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)",['loyalty programs'],other;,not sensitive,yes,"['free flights', 'free seat upgrades']",early morning,seat comfort,['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
man,60+,others,others,1 flight,business,prefer layover for rest/personal reasons,travel agent,"['ticket price', 'brand reputation']",vistara;,very sensitive,no,['free flights'],evening,extra baggage facility,['others'],0,1,0,0,1,0,0,0,1,0,0,1
woman,19-24,student,family visit,7-10 flights,economy,direct flight only,airline website/app,"['ticket price', 'punctuality', 'in flight service quality']",indigo,somewhat sensitive,no,"['extra baggage', 'free flights', 'free lounge access']",early morning,"['extra legroom', 'extra baggage facility', 'amenities(e.g charging ports, eye-mask, blankets)']",['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
woman,35-44,business owner,others,4-6 flights,first class,no preference,"third party website (e.g makemytrip, goibibo)",['safety rating'],other;,somewhat sensitive,yes,"['priority check-in/boarding', 'free flights', 'free lounge access']",evening,extra baggage facility,['others'],1,0,0,0,0,0,0,0,1,0,0,1
woman,19-24,student,others,4-6 flights,business,prefer layover for rest/personal reasons,travel agent,"['in flight service quality', 'brand reputation']",other;,very sensitive,no,['free lounge access'],late night,seat comfort,['others'],0,0,1,0,0,0,1,0,0,0,0,1
woman,60+,others,others,7-10 flights,business,prefer 1-stop if cheaper,travel agent,"['ticket price', 'free food', 'brand reputation']",other;,very sensitive,no,"['priority check-in/boarding', 'cashback or discount', 'free lounge access']",evening,extra legroom,['others'],0,1,0,0,0,0,0,0,0,0,1,1
woman,45-60,government employee,others,2-3 flights,premium economy,direct flight only,airline website/app,"['loyalty programs', 'ticket price']",other;,very sensitive,no,"['cashback or discount', 'free lounge access']",late night,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,25-34,working professional,others,7-10 flights,first class,no preference,airline website/app,"['ticket price', 'in flight service quality']",indigo;,very sensitive,no,"['priority check-in/boarding', 'free seat upgrades']",early morning,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,25-34,business owner,business,4-6 flights,business,no preference,travel agent,['loyalty programs'],other;,very sensitive,no,['free lounge access'],early morning,seat comfort,['business'],1,0,0,0,0,0,0,0,0,1,0,1
man,35-44,business owner,others,1 flight,business,direct flight only,airline website/app,"['loyalty programs', 'punctuality']",other;,not sensitive,yes,"['free lounge access', 'cashback or discount']",afternoon,cabin crew behavior,['others'],1,0,0,0,0,0,0,0,1,0,0,1
man,19-24,student,others,1 flight,economy,prefer layover for rest/personal reasons,corporate booking portal,"['ticket price', 'in flight service quality']",other;,very sensitive,no,['priority check-in/boarding'],no preference,extra legroom,['others'],0,0,0,0,0,1,0,0,0,1,0,1
woman,35-44,working professional,business,1 flight,premium economy,prefer layover for rest/personal reasons,airline website/app,"['in flight service quality', 'ticket price']",other;,very sensitive,no,"['priority check-in/boarding', 'free flights', 'free lounge access']",late night,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,35-44,working professional,business,2-3 flights,premium economy,prefer layover for rest/personal reasons,corporate booking portal,['in flight service quality'],other;,very sensitive,no,"['free seat upgrades', 'cashback or discount']",early morning,seat comfort,['business'],1,0,0,0,0,0,1,0,0,0,0,1
man,60+,others,others,1 flight,premium economy,direct flight only,airline website/app,"['safety rating', 'punctuality']",other;,very sensitive,no,"['free seat upgrades', 'free lounge access', 'cashback or discount']",afternoon,cabin crew behavior,['others'],0,1,0,0,1,0,0,0,0,1,0,1
man,45-60,business owner,leisure/vacation;,1 flight,economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['ticket price', 'punctuality', 'seat comfort']",indigo;,very sensitive,no,"['cashback or discount', 'free seat upgrades', 'free lounge access']",early morning,"['extra legroom', 'extra baggage facility', 'seat comfort']",['leisure'],0,1,0,0,0,0,1,0,0,0,0,1
man,45-60,working professional,others,1 flight,economy,no preference,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'safety rating', 'ticket price']",vistara;,not sensitive,yes,"['free lounge access', 'free flights']",late night,extra baggage facility,['others'],1,0,0,0,0,0,0,0,1,0,0,1
woman,25-34,business owner,business,2-3 flights,economy,direct flight only,other,"['loyalty programs', 'ticket price', 'brand reputation']",vistara;,very sensitive,no,['free lounge access'],no preference,seat comfort,['business'],1,0,0,0,0,0,0,0,1,0,0,1
woman,19-24,student,others,more than 10 flight,economy,prefer 1-stop if cheaper,travel agent,['safety rating'],spicejet;,not sensitive,yes,['free lounge access'],afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,19-24,working professional,family visit,7-10 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)",['loyalty programs'],indigo;,very sensitive,no,"['free seat upgrades', 'free lounge access']",afternoon,seat comfort,['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
man,45-60,working professional,others,7-10 flights,economy,direct flight only,travel agent,"['free food', 'in flight service quality']",other;,somewhat sensitive,yes,['priority check-in/boarding'],early morning,extra baggage facility,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,60+,others,others,1 flight,premium economy,prefer layover for rest/personal reasons,corporate booking portal,"['ticket price', 'safety rating']",other;,very sensitive,no,"['free flights', 'cashback or discount', 'free lounge access']",evening,cabin crew behavior,['others'],0,1,0,0,0,0,0,0,1,0,0,1
woman,19-24,student,others,2-3 flights,premium economy,no preference,corporate booking portal,"['safety rating', 'free food', 'punctuality']",spicejet;,very sensitive,no,"['priority check-in/boarding', 'free seat upgrades']",afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,25-34,business owner,family visit,4-6 flights,economy,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)",['punctuality'],indigo;,not sensitive,yes,"['free seat upgrades', 'free lounge access']",early morning,cabin crew behavior,['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
man,45-60,working professional,others,7-10 flights,economy,no preference,"third party website (e.g makemytrip, goibibo)","['punctuality', 'safety rating', 'ticket price']",other;,very sensitive,no,"['priority check-in/boarding', 'cashback or discount']",afternoon,cabin crew behavior,['others'],1,0,0,0,0,0,1,0,0,0,0,1
man,45-60,government employee,family visit,1 flight,economy,direct flight only,travel agent,"['seat comfort', 'free food', 'ticket price']",air india,very sensitive,no,"['cashback or discount', 'free flights', 'free seat upgrades']",early morning,"['seat comfort', 'extra legroom', 'amenities(e.g charging ports, eye-mask, blankets)']",['family_visit'],0,0,1,0,0,0,0,0,0,1,0,1
man,35-44,working professional,business,7-10 flights,business,direct flight only,airline website/app,"['ticket price', 'free food']",other;,very sensitive,no,"['free flights', 'free lounge access', 'free seat upgrades']",late night,seat comfort,['business'],1,0,0,0,0,0,1,0,0,0,0,1
woman,19-24,student,others,7-10 flights,economy,direct flight only,travel agent,['free food'],spicejet;,very sensitive,no,"['free lounge access', 'free flights']",no preference,extra legroom,['others'],0,0,0,1,0,0,0,1,0,0,0,1
man,25-34,business owner,business,2-3 flights,premium economy,no preference,travel agent,"['punctuality', 'ticket price', 'in flight service quality']",spicejet;,not sensitive,yes,"['free flights', 'cashback or discount', 'priority check-in/boarding']",evening,cabin crew behavior,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,19-24,student,leisure/vacation;family visit;education,2-3 flights,economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['ticket price', 'brand reputation', 'punctuality']",indigo;other,somewhat sensitive,no,"['free seat upgrades', 'free lounge access', 'cashback or discount']",no preference,"['extra legroom', 'seat comfort', 'cabin crew behavior']","['leisure', 'family_visit', 'education']",0,1,1,1,0,0,1,0,0,0,0,1
man,25-34,student,others,7-10 flights,business,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['punctuality', 'in flight service quality', 'ticket price']",spicejet;,not sensitive,yes,"['free seat upgrades', 'free lounge access']",late night,in-flight entertainment,['others'],0,0,1,0,0,0,0,1,0,0,0,1
man,19-24,student,education,0 flight,premium economy,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'safety rating', 'ticket price']",spicejet,very sensitive,no,"['free flights', 'cashback or discount', 'free lounge access']",late night,"['seat comfort', 'in-flight entertainment', 'extra legroom']",['education'],0,0,0,1,0,0,0,1,0,0,0,1
woman,35-44,business owner,others,7-10 flights,business,no preference,corporate booking portal,['safety rating'],other;,somewhat sensitive,yes,"['free flights', 'cashback or discount', 'priority check-in/boarding']",early morning,extra baggage facility,['others'],1,0,0,0,0,0,1,0,0,0,0,1
man,25-34,student,education,1 flight,economy,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['seat comfort', 'safety rating', 'ticket price']",spicejet,somewhat sensitive,no,"['free seat upgrades', 'cashback or discount', 'priority check-in/boarding']",afternoon,"['extra baggage facility', 'cabin crew behavior', 'seat comfort']",['education'],0,0,0,1,0,0,0,1,0,0,0,1
woman,35-44,student,others,1 flight,business,no preference,corporate booking portal,"['free food', 'safety rating', 'punctuality']",other;,very sensitive,no,"['cashback or discount', 'priority check-in/boarding']",late night,cabin crew behavior,['others'],0,0,1,0,0,0,0,0,1,0,0,1
woman,60+,others,others,7-10 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['brand reputation', 'free food']",other;,not sensitive,yes,"['priority check-in/boarding', 'cashback or discount', 'free lounge access']",no preference,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,25-34,working professional,business,2-3 flights,economy,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'in flight service quality']",other;,very sensitive,no,['free seat upgrades'],afternoon,"amenities(e.g charging ports, eye-mask, blankets)",['business'],1,0,0,0,0,0,1,0,0,0,0,1
man,25-34,student,others,4-6 flights,business,prefer 1-stop if cheaper,airline website/app,"['punctuality', 'brand reputation']",spicejet;,not sensitive,yes,['cashback or discount'],late night,seat comfort,['others'],0,0,0,1,0,0,0,1,0,0,0,1
woman,45-60,government employee,others,7-10 flights,business,direct flight only,"third party website (e.g makemytrip, goibibo)","['free food', 'loyalty programs', 'ticket price']",other;,very sensitive,no,['priority check-in/boarding'],late night,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,19-24,student,others,7-10 flights,economy,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['ticket price', 'free food']",other;,very sensitive,no,"['cashback or discount', 'free seat upgrades']",no preference,seat comfort,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,25-34,working professional,family visit,4-6 flights,premium economy,no preference,other,"['free food', 'ticket price']",spicejet;,not sensitive,yes,"['free seat upgrades', 'free lounge access', 'priority check-in/boarding']",afternoon,seat comfort,['family_visit'],0,0,1,0,0,0,0,1,0,0,0,1
woman,45-60,government employee,others,2-3 flights,premium economy,prefer layover for rest/personal reasons,other,"['safety rating', 'loyalty programs', 'ticket price']",air india;,somewhat sensitive,yes,"['priority check-in/boarding', 'free flights', 'free lounge access']",afternoon,seat comfort,['others'],0,1,0,0,0,0,0,0,0,1,0,1
man,35-44,business owner,others,2-3 flights,economy,no preference,travel agent,"['ticket price', 'loyalty programs', 'brand reputation']",indigo;,very sensitive,no,"['cashback or discount', 'free flights', 'priority check-in/boarding']",evening,extra legroom,['others'],0,0,0,0,0,1,1,0,0,0,0,1
man,25-34,business owner,others,4-6 flights,first class,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)",['free food'],spicejet;,very sensitive,no,['priority check-in/boarding'],early morning,in-flight entertainment,['others'],1,0,0,0,0,0,0,1,0,0,0,1
man,19-24,student,others,2-3 flights,economy,direct flight only,other,['ticket price'],spicejet;,not sensitive,yes,"['cashback or discount', 'free seat upgrades']",late night,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,35-44,working professional,family visit,1 flight,premium economy,prefer layover for rest/personal reasons,corporate booking portal,"['loyalty programs', 'safety rating', 'brand reputation']",other;,very sensitive,no,"['priority check-in/boarding', 'cashback or discount']",late night,cabin crew behavior,['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
woman,19-24,working professional,others,0 flight,premium economy,prefer 1-stop if cheaper,airline website/app,['safety rating'],spicejet;,very sensitive,no,['free lounge access'],evening,seat comfort,['others'],0,0,0,0,0,1,0,1,0,0,0,1
woman,45-60,student,others,4-6 flights,business,prefer layover for rest/personal reasons,airline website/app,"['free food', 'punctuality']",vistara;,very sensitive,no,"['cashback or discount', 'free flights', 'free lounge access']",afternoon,extra legroom,['others'],0,0,0,1,0,0,0,0,1,0,0,1
woman,25-34,business owner,business,1 flight,economy,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'in flight service quality']",vistara;,not sensitive,yes,"['free seat upgrades', 'priority check-in/boarding']",early morning,extra legroom,['business'],1,0,0,0,0,0,0,0,1,0,0,1
woman,35-44,business owner,business,7-10 flights,business,prefer layover for rest/personal reasons,other,"['in flight service quality', 'free food', 'punctuality']",other;,very sensitive,no,['free flights'],no preference,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
woman,35-44,working professional,business,2-3 flights,premium economy,no preference,travel agent,"['loyalty programs', 'punctuality', 'free food']",spicejet;,very sensitive,no,"['free seat upgrades', 'priority check-in/boarding', 'cashback or discount']",afternoon,"amenities(e.g charging ports, eye-mask, blankets)",['business'],1,0,0,0,0,0,0,1,0,0,0,1
woman,35-44,working professional,others,2-3 flights,premium economy,no preference,other,"['ticket price', 'in flight service quality', 'safety rating']",other;,very sensitive,no,"['free flights', 'free seat upgrades']",evening,seat comfort,['others'],1,0,0,0,0,0,0,1,0,0,0,1
woman,60+,working professional,others,1 flight,premium economy,prefer layover for rest/personal reasons,other,"['safety rating', 'loyalty programs']",indigo;,very sensitive,no,"['cashback or discount', 'free lounge access', 'priority check-in/boarding']",late night,in-flight entertainment,['others'],1,0,0,0,0,0,1,0,0,0,0,1
man,45-60,student,others,4-6 flights,business,prefer layover for rest/personal reasons,airline website/app,"['punctuality', 'safety rating', 'free food']",other;,very sensitive,no,"['cashback or discount', 'free lounge access', 'priority check-in/boarding']",late night,seat comfort,['others'],0,0,1,0,0,0,1,0,0,0,0,1
man,19-24,student,others,4-6 flights,business,no preference,other,['free food'],vistara;,not sensitive,yes,"['priority check-in/boarding', 'free seat upgrades', 'cashback or discount']",afternoon,extra baggage facility,['others'],0,0,0,0,0,1,0,0,1,0,0,1
man,25-34,working professional,business,7-10 flights,business,prefer layover for rest/personal reasons,corporate booking portal,"['free food', 'loyalty programs', 'ticket price']",other;,very sensitive,no,"['cashback or discount', 'free flights', 'free lounge access']",evening,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,25-34,working professional,others,4-6 flights,first class,direct flight only,other,"['punctuality', 'free food']",indigo;,very sensitive,yes,"['priority check-in/boarding', 'free lounge access']",early morning,cabin crew behavior,['others'],0,0,0,0,0,1,1,0,0,0,0,1
woman,35-44,working professional,others,1 flight,business,prefer 1-stop if cheaper,corporate booking portal,"['free food', 'in flight service quality']",other;,somewhat sensitive,yes,"['free lounge access', 'free seat upgrades', 'cashback or discount']",afternoon,seat comfort,['others'],1,0,0,0,0,0,0,0,0,1,0,1
woman,45-60,government employee,others,4-6 flights,premium economy,prefer layover for rest/personal reasons,corporate booking portal,"['ticket price', 'loyalty programs']",vistara;,not sensitive,yes,"['free seat upgrades', 'free lounge access']",early morning,seat comfort,['others'],0,1,0,0,0,0,0,0,1,0,0,1
man,25-34,working professional,others,7-10 flights,business,direct flight only,other,"['punctuality', 'safety rating']",other;,very sensitive,no,['free seat upgrades'],late night,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,35-44,working professional,others,7-10 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)",['ticket price'],indigo;,not sensitive,yes,"['free lounge access', 'free seat upgrades', 'cashback or discount']",early morning,extra baggage facility,['others'],0,0,0,0,0,1,1,0,0,0,0,1
woman,25-34,business owner,others,7-10 flights,first class,prefer layover for rest/personal reasons,airline website/app,"['punctuality', 'in flight service quality']",spicejet;,very sensitive,no,['free flights'],evening,"amenities(e.g charging ports, eye-mask, blankets)",['others'],1,0,0,0,0,0,0,1,0,0,0,1
man,45-60,government employee,others,4-6 flights,first class,prefer 1-stop if cheaper,other,"['punctuality', 'safety rating']",other;,very sensitive,yes,"['free seat upgrades', 'priority check-in/boarding']",afternoon,seat comfort,['others'],0,0,1,0,0,0,1,0,0,0,0,1
man,60+,others,others,1 flight,premium economy,direct flight only,corporate booking portal,['free food'],vistara;,somewhat sensitive,yes,"['cashback or discount', 'free seat upgrades', 'free lounge access']",no preference,extra legroom,['others'],0,1,0,0,0,0,0,0,1,0,0,1
